venue_title,venue_slug,venue_street,venue_city,venue_state,venue_zip,venue_map_url,venue_url
"Reser Stadium",reser-stadium,"660 Southwest 26th Street",Corvallis,OR,97331,,http://www.osubeavers.com/ViewArticle.dbml?DB_OEM_ID=30800&ATCLID=208342877
"Martin Stadium",martin-stadium,"1775 Northeast Stadium Way",Pullman,WA,99164,,http://www.wsucougars.com/ViewArticle.dbml?SPSID=749725&SPID=126813&DB_LANG=C&DB_OEM_ID=30400&ATCLID=208264711
"Arizona Stadium",arizona-stadium,"1 National Championship Drive"," Tucson",AZ,85719,,http://www.arizonawildcats.com/ViewArticle.dbml?ATCLID=208232687
"Ryan Field",ryan-field,"1501 Central Street"," Evanston",IL,60201,,http://www.nusports.com/facilities/ryan-field.html
"O.co Stadium",o-co-stadium,"7000 Coliseum Way",Oakland,CA,94621,,http://oraclearena.com/
"Sports Authority Field",sports-authority-field,"1701 Bryant Street"," Denver",CO,80204,,http://www.sportsauthorityfieldatmilehigh.com/
"Metlife Stadium",metlife-stadium,"1 MetLife Stadium Drive"," East Rutherford",NJ,07073,,http://www.metlifestadium.com/
"AT&#038;T Stadium",att-stadium,"1 AT&T Way ",Arlington,TX,76011,,http://stadium.dallascowboys.com/
"Qualcomm Stadium",qualcomm-stadium,"9449 Friars Road"," San Diego",CA,92108,,http://www.chargers.com/gameday/facts-and-stats.html
"Arrowhead Stadium",arrowhead-stadium,"1 Arrowhead Drive"," Kansas City",MO,64129,,http://www.kcchiefs.com/arrowhead/
"Soldier Field",soldier-field,"1410 Museum Campus Drive"," Chicago Chicago, IL 60605",IL,60605,,http://soldierfield.net/
"Lincoln Financial Field",lincoln-financial-field,"1 Lincoln Financial Field Way"," Philadelphia",PA,19147,,http://www.lincolnfinancialfield.com/
"Levi&#8217;s Stadium",levis-stadium,"4900 Marie P. DeBartolo Way"," Santa Clara",CA,95054,,http://www.levisstadium.com/
"Hastings Golf Club",hastings-golf-club,"1523 Maraekakaho Road",Hastings,NZ,4175,,http://www.hastingsgolfclub.co.nz/layouts/terraces/Template.aspx?page=The+Course&ComeFromCat=244
"St Clair Golf Club",st-clair-golf-club,"Isadore Road",Dunedin,NZ,,,http://www.golf.co.nz/Tournaments/TournamentVenue.aspx?competitionid=313679
"Stanford Stadium",stanford-stadium,"601 Nelson Rd",Stanford,CA,94305,,
"Edward Jones Dome",edward-jones-dome,"901 N. Broadway"," St. Louis",MO,63101,,http://www.stlouisrams.com/edward-jones-dome/
"Lucas Oil Stadium",lucas-oil-stadium,"500 S Capitol Ave",Indianapolis,IN,,,http://www.colts.com/stadium/lucas-oil-stadium.html
"FedEx Field",fedex-field,"1600 Fedex Way",Landover,MD,20785,,http://www.redskins.com/fedexfield/
"LP Field",lp-field,"1 Titans Way",Nashville,TN,,,http://www.titansonline.com/stadium/
"Reliant Stadium",reliant-stadium,"2 Reliant Pkwy ",Houston,TX,,,http://reliantpark.com
"CenturyLink Field",centurylink-field,"800 Occidental Ave",Seattle,WA,98134,,http://centurylinkfield.com
"Raymond James Stadium",raymond-james-stadium,"4201 N Dale Mabry Hwy",Tampa,FL,33607,,http://raymondjamesstadium.com/
"Husky Stadium",husky-stadium,"University of Washington",Seattle,WA,98105,,
"LA Coliseum",los-angeles-memorial-coliseum,"3911 S Figueroa St","Los Angeles",CA,90037,,http://www.lacoliseumlive.com/joomla/
"Wembley Stadium",wembley-stadium,"Wembley ",London,UK,"HA9 0WS",,http://www.wembleystadium.com/
"Memorial Stadium",california-memorial-stadium,"Bancroft Way",Berkeley,CA,94720,,http://www.calbears.com/ViewArticle.dbml?&DB_OEM_ID=30100&ATCLID=209129660
"University of Phoenix Stadium",university-of-phoenix-stadium,"1 Cardinals Drive",Glendale,AZ,85305,,http://www.universityofphoenixstadium.com/
"New Orleans Superdome",new-orleans-superdome,"1500 Poydras Street","New Orleans",LA,70112,,http://www.superdome.com/site.php
"Lambeau Field",lambeau-field,"1265 Lombardi Avenue","Green Bay","WI, US",54304,,http://www.packers.com/lambeau-field/
"Candlestick Park",candlestick-park,"490 Jamestown Ave","San Francisco",CA,94124,,http://www.49ers.com/stadium/
"The Rose Bowl",the-rose-bowl,"1001 Rose Bowl Drive",Pasadena,CA,91103,,http://www.rosebowlstadium.com/
"Santa Fe Christian",santa-fe-christian,"838 Academy Dr","Solana Beach",CA,92075,,
"Westview High School",westview-high-school,"13500 Camin Del Sur","San Diego",CA,92129,,
"Mt. Carmel High School",mt-carmel-high-school,"9550 Carmel Mountain Road","San Diego",CA,92129,,
"Del Norte High School",del-norte-high-school,"16601 Nighthawk Way","San Diego",CA,92127,,
"Poway High School",poway-high-school,"15500 Espola Road",Poway,CA,92064,,
"Rancho Bernardo High School",rancho-bernardo-high-school-2,"13010 Paseo Lucido","San Diego",CA,92128,,
"Pacific Ridge School",pacific-ridge-school,"6269 El Fuerte Street",Carlsbad,CA,92009,,
"Francis Parker School",francis-parker-school,"6501 Linda Vista Road","San Diego",CA,92111,,
"Maranatha Christian School",maranatha-christian-school,"9050 Maranatha Drive","San Diego",CA,92127,,
